[31860:12892:0123/114925.411:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[31860:32352:0123/114925.453:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[31860:12892:0123/114925.465:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[31860:12892:0123/114955.552:WARNING:external_registry_loader_win.cc(232)] Error observing HKLM: 5
[2016:15728:0123/114959.025:ERROR:ffmpeg_common.cc(965)] Unsupported pixel format: -1
[2520:32120:0123/114959.195:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 6-4E88236083D9967F2EC5F43777609C35 will be ignored
[31860:12892:0123/114959.198:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/114959.330:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/114959.539:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/114959.944:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/114959.945:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115000.077:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115000.140:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115000.340:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115000.672:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115005.141:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115005.743:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115006.010:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115006.814:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115007.877:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115008.017:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115008.143:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115008.345:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115008.410:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115008.486:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115008.610:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115008.745:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115010.943:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115011.626:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115012.025:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115012.292:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115015.314:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115015.663:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115016.310:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115019.978:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115021.552:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115022.036:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115022.820:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115023.018:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115023.492:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115025.719:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115026.456:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115026.518:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115027.590:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115028.728:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115029.185:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115029.592:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115029.861:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115029.861:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
[31860:12892:0123/115029.990:ERROR:page_load_metrics_update_dispatcher.cc(179)] Invalid first_paint 2.577 s for first_image_paint 2.507 s
